Date,Roc_0,Buy,Sell,Close
2023-10-02,,,,8.760000228881836
2023-10-03,,,,8.5
2023-10-04,,,,8.829999923706055
2023-10-05,,,,8.699999809265137
2023-10-06,,,,8.979999542236328
2023-10-09,,,,9.220000267028809
2023-10-10,,,,9.479999542236328
2023-10-11,,,,9.789999961853027
2023-10-13,,,,9.869999885559082
2023-10-16,13.926932436966593,,9.979999542236328,9.979999542236328
2023-10-17,12.470593171961166,,9.5600004196167,9.5600004196167
2023-10-18,2.265003522006764,,,9.029999732971191
2023-10-19,1.7241445458980986,,,8.850000381469727
2023-10-20,-0.33407276726564783,,,8.949999809265137
2023-10-23,-1.0846028044850826,,,9.119999885559082
2023-10-24,-7.067501634726623,8.8100004196167,,8.8100004196167
2023-10-25,-11.950971203808775,8.619999885559082,,8.619999885559082
2023-10-26,-6.585609180009169,9.220000267028809,,9.220000267028809
2023-10-27,-11.222444257829208,8.859999656677246,,8.859999656677246
2023-10-30,-8.99582188915891,8.699999809265137,,8.699999809265137
2023-10-31,-0.6644459326317261,,,8.970000267028809
2023-11-01,9.265532875469106,,9.670000076293945,9.670000076293945
2023-11-03,13.407819383670644,,10.149999618530273,10.149999618530273
2023-11-06,13.267544444413074,,10.329999923706055,10.329999923706055
2023-11-07,22.02042551625333,,10.75,10.75
2023-11-08,26.91414994924616,,10.9399995803833,10.9399995803833
2023-11-09,13.340558640056328,,10.449999809265137,10.449999809265137
2023-11-10,18.961629461347286,,10.539999961853027,10.539999961853027
2023-11-13,22.068966878013324,,10.619999885559082,10.619999885559082
2023-11-14,22.96543371926487,,11.029999732971191,11.029999732971191
2023-11-16,14.788007175733476,,11.100000381469727,11.100000381469727
2023-11-17,5.123157411891295,,,10.670000076293945
2023-11-20,3.194578181445541,,,10.65999984741211
2023-11-21,0.6511599518531976,,,10.819999694824219
2023-11-22,1.4625302305616714,,,11.100000381469727
2023-11-23,9.569378165092251,,11.449999809265137,11.449999809265137
2023-11-24,6.4516158219817585,,,11.220000267028809
2023-11-27,7.344630333111618,,,11.399999618530273
2023-11-28,5.077066483897818,,,11.59000015258789
2023-11-29,1.8918921705403313,,,11.3100004196167
2023-11-30,6.2792883927200425,,,11.34000015258789
2023-12-01,7.598503107045918,,,11.470000267028809
